Problema,PC,PM,TC,TM,Tiempo,Iteraciones,Evaluaciones,Fitness
problem_mknap7,0.75,0.1,0,0,313.56666666666666 +- 20.500098121436046,49985.0 +- 0.0,50000.0 +- 0.0,16400.766666666666 +- 242.5617139151834
problem_mknap7,0.75,0.1,0,1,277.6666666666667 +- 20.49277977699721,49985.0 +- 0.0,50000.0 +- 0.0,15838.166666666666 +- 616.5318507494205
problem_mknap7,0.75,0.1,1,0,350.23333333333335 +- 18.71507475241565,49676.433333333334 +- 1690.0892382751076,49691.46666666667 +- 1689.9066640892725,16445.266666666666 +- 59.967769120864695
problem_mknap7,0.75,0.1,1,1,302.93333333333334 +- 22.94511191778197,49985.0 +- 0.0,50000.0 +- 0.0,15898.6 +- 691.5832211123532
problem_mknap7,0.75,0.3,0,0,330.56666666666666 +- 17.456711649368426,49985.0 +- 0.0,50000.0 +- 0.0,16146.633333333333 +- 58.207407594313764
problem_mknap7,0.75,0.3,0,1,262.0 +- 21.355771246134882,49985.0 +- 0.0,50000.0 +- 0.0,15838.166666666666 +- 616.5318507494205
problem_mknap7,0.75,0.3,1,0,358.8333333333333 +- 20.793041497401088,49985.0 +- 0.0,50000.0 +- 0.0,16161.633333333333 +- 69.40708665662982
problem_mknap7,0.75,0.3,1,1,304.43333333333334 +- 26.432325211603196,49985.0 +- 0.0,50000.0 +- 0.0,15898.6 +- 691.5832211123532
problem_mknap7,0.5,0.01,0,0,303.8333333333333 +- 22.150088866223747,49985.0 +- 0.0,50000.0 +- 0.0,15578.333333333334 +- 724.1549811895305
problem_mknap7,0.5,0.01,0,1,273.03333333333336 +- 17.656655155050398,49985.0 +- 0.0,50000.0 +- 0.0,15621.0 +- 641.9822749728456
problem_mknap7,0.5,0.01,1,0,322.8666666666667 +- 20.674377501087456,49985.0 +- 0.0,50000.0 +- 0.0,15944.4 +- 552.2870068461093
problem_mknap7,0.5,0.01,1,1,287.8 +- 19.647584742326387,49985.0 +- 0.0,50000.0 +- 0.0,15605.8 +- 746.3474923320537
problem_mknap7,0.5,0.1,0,0,315.4 +- 30.23767916655163,48864.566666666666 +- 6136.866108473718,48879.6 +- 6136.683534287883,16445.966666666667 +- 54.153984368543966
problem_mknap7,0.5,0.1,0,1,281.5 +- 25.58656705760082,49985.0 +- 0.0,50000.0 +- 0.0,15621.0 +- 641.9822749728456
problem_mknap7,0.5,0.1,1,0,341.03333333333336 +- 35.5949273152048,49155.0 +- 4546.097227292878,49170.03333333333 +- 4545.914653107044,16416.7 +- 243.40857520383008
problem_mknap7,0.5,0.1,1,1,281.9 +- 20.805088900024703,49985.0 +- 0.0,50000.0 +- 0.0,15605.8 +- 746.3474923320537
problem_mknap7,0.5,0.3,0,0,324.56666666666666 +- 15.834670239989068,49985.0 +- 0.0,50000.0 +- 0.0,16156.966666666667 +- 70.8560869472148
problem_mknap7,0.5,0.3,0,1,261.8 +- 19.75958955318518,49985.0 +- 0.0,50000.0 +- 0.0,15621.0 +- 641.9822749728456
problem_mknap7,0.5,0.3,1,0,355.93333333333334 +- 21.88832681076177,49985.0 +- 0.0,50000.0 +- 0.0,16177.8 +- 54.84297333421968
problem_mknap7,0.5,0.3,1,1,288.8666666666667 +- 22.684847340252805,49985.0 +- 0.0,50000.0 +- 0.0,15605.8 +- 746.3474923320537
problem_mknap8,0.9,0.01,0,0,365.4 +- 20.800530497213703,49985.0 +- 0.0,50000.0 +- 0.0,22973.2 +- 373.5344142387548
problem_mknap8,0.9,0.01,0,1,302.4 +- 18.172734407954927,49985.0 +- 0.0,50000.0 +- 0.0,22816.333333333332 +- 401.05613446063353
problem_mknap8,0.9,0.01,1,0,449.8 +- 22.918747032009435,49985.0 +- 0.0,50000.0 +- 0.0,23005.5 +- 451.7111336638295
problem_mknap8,0.9,0.01,1,1,387.53333333333336 +- 22.742536984816514,49985.0 +- 0.0,50000.0 +- 0.0,22921.466666666667 +- 338.89574567524687
problem_mknap8,0.9,0.1,0,0,387.3666666666667 +- 15.608316380375083,49985.0 +- 0.0,50000.0 +- 0.0,22404.5 +- 250.49396028234102
problem_mknap8,0.9,0.1,0,1,302.76666666666665 +- 19.452299453354826,49985.0 +- 0.0,50000.0 +- 0.0,22816.333333333332 +- 401.05613446063353
problem_mknap8,0.9,0.1,1,0,451.26666666666665 +- 20.26196255146035,49985.0 +- 0.0,50000.0 +- 0.0,22386.733333333334 +- 322.20992657211724
problem_mknap8,0.9,0.1,1,1,378.06666666666666 +- 17.905755833084037,49985.0 +- 0.0,50000.0 +- 0.0,22921.466666666667 +- 338.89574567524687
problem_mknap8,0.9,0.3,0,0,414.3666666666667 +- 27.697234186994116,49985.0 +- 0.0,50000.0 +- 0.0,18634.566666666666 +- 608.5527026922343
problem_mknap8,0.9,0.3,0,1,294.8666666666667 +- 17.725363345983247,49985.0 +- 0.0,50000.0 +- 0.0,22816.333333333332 +- 401.05613446063353
problem_mknap8,0.9,0.3,1,0,485.8 +- 22.40597211028561,49985.0 +- 0.0,50000.0 +- 0.0,18990.733333333334 +- 570.175649483883
problem_mknap8,0.9,0.3,1,1,375.8333333333333 +- 26.504499726407335,49985.0 +- 0.0,50000.0 +- 0.0,22921.466666666667 +- 338.89574567524687
problem_mknap8,0.75,0.01,0,0,356.0 +- 19.388941035620242,49985.0 +- 0.0,50000.0 +- 0.0,22940.266666666666 +- 343.16347098153085
problem_mknap8,0.75,0.01,0,1,294.3666666666667 +- 23.97194241167173,49985.0 +- 0.0,50000.0 +- 0.0,23044.8 +- 315.23383767259674
problem_mknap8,0.75,0.01,1,0,417.8 +- 27.41180213980329,49985.0 +- 0.0,50000.0 +- 0.0,22864.866666666665 +- 448.11226528499594
problem_mknap8,0.75,0.01,1,1,358.03333333333336 +- 24.982039525438566,49985.0 +- 0.0,50000.0 +- 0.0,22964.466666666667 +- 411.96566088343627
problem_mknap8,0.75,0.1,0,0,386.4 +- 19.489342799556397,49985.0 +- 0.0,50000.0 +- 0.0,22262.7 +- 309.44690926744187
problem_mknap8,0.75,0.1,0,1,313.6333333333333 +- 32.731386743627574,49985.0 +- 0.0,50000.0 +- 0.0,23044.8 +- 315.23383767259674
